GesID	Ebene
3171	Sun-exposed slope
3171	Shadow-exposed slope
3171	Plain
3172	Plain
3172	Sun-exposed slope
3173	Plain
3173	Sun-exposed slope
3174	Sun-exposed slope
3174	Plain
3175	Sun-exposed slope
3175	Plain
3200	Shadow-exposed slope
3200	Plain
3200	Sun-exposed slope
3201	Sun-exposed slope
3201	Plain
3201	Shadow-exposed slope
3211	Sun-exposed slope
3261	Plain
3261	Shadow-exposed slope
3261	Sun-exposed slope
3262	Plain
3262	Shadow-exposed slope
3262	Sun-exposed slope
3310	Shadow-exposed slope
3310	Sun-exposed slope
3310	Plain
3311	Shadow-exposed slope
3311	Plain
3311	Sun-exposed slope
3370	Shadow-exposed slope
3370	Sun-exposed slope
3370	Plain
3371	Shadow-exposed slope
3371	Plain
3371	Sun-exposed slope
3391	Shadow-exposed slope
3391	Plain
3391	Sun-exposed slope
3392	Plain
3392	Sun-exposed slope
3392	Shadow-exposed slope
3440	Shadow-exposed slope
3440	Plain
3440	Sun-exposed slope
3480	Sun-exposed slope
3480	Shadow-exposed slope
3480	Plain
3481	Sun-exposed slope
3481	Shadow-exposed slope
3481	Plain
3501	Plain
3501	Shadow-exposed slope
3501	Sun-exposed slope
3502	Plain
3502	Sun-exposed slope
3502	Shadow-exposed slope
3503	Sun-exposed slope
3503	Shadow-exposed slope
3503	Plain
3540	Shadow-exposed slope
3540	Plain
3540	Sun-exposed slope
3541	Plain
3541	Sun-exposed slope
3541	Shadow-exposed slope
3542	Plain
3543	Plain
3544	Plain
3601	Plain
3602	Plain
3603	Plain
3607	Plain
3607	Sun-exposed slope
3607	Shadow-exposed slope
3608	Shadow-exposed slope
3608	Sun-exposed slope
3608	Plain
3609	Plain
3609	Sun-exposed slope
3609	Shadow-exposed slope
3610	Shadow-exposed slope
3610	Plain
3610	Sun-exposed slope
3611	Plain
3611	Shadow-exposed slope
3611	Sun-exposed slope
3612	Shadow-exposed slope
3612	Sun-exposed slope
3612	Plain
3613	Plain
3911	Sun-exposed slope
3911	Shadow-exposed slope
3911	Plain
3912	Sun-exposed slope
3912	Plain
3912	Shadow-exposed slope
4000	Shadow-exposed slope
4000	Plain
4000	Sun-exposed slope
4021	Shadow-exposed slope
4021	Sun-exposed slope
4021	Plain
4040	Sun-exposed slope
4040	Plain
4040	Shadow-exposed slope
4041	Shadow-exposed slope
4041	Plain
4041	Sun-exposed slope
4042	Shadow-exposed slope
4042	Plain
4042	Sun-exposed slope
4043	Sun-exposed slope
4043	Plain
4043	Shadow-exposed slope
4044	Plain
4151	Shadow-exposed slope
4201	Shadow-exposed slope
4201	Plain
4201	Sun-exposed slope
4202	Plain
4202	Shadow-exposed slope
4203	Shadow-exposed slope
4203	Plain
4203	Sun-exposed slope
4214	Plain
4215	Plain
4216	Shadow-exposed slope
4216	Plain
4216	Sun-exposed slope
4217	Shadow-exposed slope
4217	Sun-exposed slope
4217	Plain
4218	Shadow-exposed slope
4218	Sun-exposed slope
4218	Plain
4290	Shadow-exposed slope
4290	Sun-exposed slope
4290	Plain
4501	Sun-exposed slope
4501	Shadow-exposed slope
