# Community_BERN5_ID	Plant_BERN5_ID	Plant_is_constant	Charakterart	Community_Name	Plant_Name	is dominant
2410	5037	0	0	Vaccinio uliginosi-Pinetum sylvestris KLEIST 1929 em. MATUSZKIEWICZ 1962	Betula nana	
2412	33	1	0	Leucobryo-Pinetum variscum REINHOLD 1939	Ptilidium ciliare	subdominant
2412	138	1	0	Leucobryo-Pinetum variscum REINHOLD 1939	Avenella flexuosa	
2412	141	1	0	Leucobryo-Pinetum variscum REINHOLD 1939	Betula pendula	dominant
2412	145	1	0	Leucobryo-Pinetum variscum REINHOLD 1939	Scleropodium purum	subdominant
2412	159	1	0	Leucobryo-Pinetum variscum REINHOLD 1939	Pleurozium schreberi	subdominant
2412	172	1	0	Leucobryo-Pinetum variscum REINHOLD 1939	Luzula pilosa	
2412	182	1	0	Leucobryo-Pinetum variscum REINHOLD 1939	Dicranum undulatum	subdominant
2412	686	1	0	Leucobryo-Pinetum variscum REINHOLD 1939	Arnica montana	subdominant
2412	2050	1	0	Leucobryo-Pinetum variscum REINHOLD 1939	Goodyera repens	
2412	3035	1	0	Leucobryo-Pinetum variscum REINHOLD 1939	Calluna vulgaris	dominant
2412	3104	1	0	Leucobryo-Pinetum variscum REINHOLD 1939	Erica carnea	dominant
2412	3198	1	0	Leucobryo-Pinetum variscum REINHOLD 1939	Pinus sylvestris sylvestris	dominant
2412	3310	1	0	Leucobryo-Pinetum variscum REINHOLD 1939	Cetraria islandica	
2412	3312	1	0	Leucobryo-Pinetum variscum REINHOLD 1939	Vaccinium myrtillus	subdominant
2412	3313	1	0	Leucobryo-Pinetum variscum REINHOLD 1939	Leucobryum glaucum	subdominant
2412	3314	1	0	Leucobryo-Pinetum variscum REINHOLD 1939	Vaccinium vitis-idaea	dominant
2412	3318	1	0	Leucobryo-Pinetum variscum REINHOLD 1939	Cladonia rangiferina	
2412	3329	0	0	Leucobryo-Pinetum variscum REINHOLD 1939	Sphagnum girgensohnii	subdominant
2412	5006	0	0	Leucobryo-Pinetum variscum REINHOLD 1939	Diphasiastrum complanatum	subdominant
2412	5023	0	0	Leucobryo-Pinetum variscum REINHOLD 1939	Scapania carinthiaca	subdominant
2413	225	1	0	Erico carneae-Pinetum sylvestris typicum BRAUN-BLANQUET in BR.-BL. et al. 1939	Euphorbia cyparissias	
2413	289	1	0	Erico carneae-Pinetum sylvestris typicum BRAUN-BLANQUET in BR.-BL. et al. 1939	Briza media	
2413	320	1	0	Erico carneae-Pinetum sylvestris typicum BRAUN-BLANQUET in BR.-BL. et al. 1939	Linum cartharticum	
2413	361	0	0	Erico carneae-Pinetum sylvestris typicum BRAUN-BLANQUET in BR.-BL. et al. 1939	Thymus serpyllum	
2413	401	0	0	Erico carneae-Pinetum sylvestris typicum BRAUN-BLANQUET in BR.-BL. et al. 1939	Carlina vulgaris	
2413	406	1	0	Erico carneae-Pinetum sylvestris typicum BRAUN-BLANQUET in BR.-BL. et al. 1939	Carex humilis	
