# Community_BERN5_ID	Community_Name	community_Synonyme	Naturalness level	use_type_Text	EUNIS_Code	Natura2000	Sources_plots	account_plots
61	Ranunculetum aquatilis SAUER 1947	Ranunculetum aquatilis Géhu 1961	(semi-)aquatic community	unusable	C1.2	3150v, 3260v	Passarge 1964 Table 5a-b (also Lienenbecker 1971 Tab. 19a + p. 111; Pott 1980 Tab. 15/15-35 + p. 70; Schubert 2001 p. 278; Pujol et al. 2023 p. 97; Chytry et al. 2011 tab. 5/4 p. 222+226; Bergmeier et Papaioannou 2008 Tab. 1/4-7 p. 294; Donita et al. 2005	142
62	Ranunculetum peltati SAUER 1947	Ranunculetum peltati (Segal 1965) Weber-Oldecop 1969	(semi-)aquatic community	unusable	C1.3	3150v, 3260v	Oberdorfer 1998 Vol I Table 22 b, c (also: Pujol et al. 2023 p. 97)	11
63	Ranunculo-Hottonietum palustris R. TÜXEN 1937 ex ROLL 1940	Hottonietum palustris Sauer 1947; Callitricho-Hottonietum (Tüxen 1937) Segal 1965	(semi-)aquatic community	unusable	C1.2	3150v	Tüxen 1937 p. 49 (also: Roll 1940 tab. 1; Passarge 1964, Table 5 c-d; Linhard 1964 Tab. Ic; Pott 1980 Tab. 14 + p. 67; Oberdorfer 1998 Table 20/15a; Soó 1964b p. 133; Pujol et al. 2023 p. 97; Chytry et al. 2011 tab. 5/9 p. 222+241; Schubert 2001 p. 280; D	163
64	Callitricho hamutae-Ranunculetum fluitantis OBERDORFER 1957		(semi-)aquatic community	unusable	C1.2	3260v	Oberdorfer  1998 Vol I Table 18/4Bb (also: Hilbig 1971c Tab. 5/1 + p. 28; Pujol et al. 2023 p. 100; Chytry et al. 2011 tab. 5/3 p. 222+219; Schubert 2001 p. 282)	101
65	Callitricho hamutae-Myriophylletum alterniflori WEBER 1967		(semi-)aquatic community	unusable	Q52216	3260v	Oberdorfer 1998 Vol I Table 18/4Aa, 4Ab (also Brullo et al. 1994 tab. 9; Chytry et al. 2011 tab. 5/2 p.222+215)	71
66	Potamogetono perfoliati-Ranunculetum fluitantis W. KOCH 1926		(semi-)aquatic community	unusable	C1.3	3260v	Passarge 1964, Table 8a-f (also Soó 1964b p. 133; Oberdorfer 98, Table 18/1Ab; Schubert 2001 p. 281)	45
67	Ranunculo penicillati-Sietum erecti-submersi TH. MÜLLER 1962	Beruletum erectae Roll 1938	(semi-)aquatic community	unusable	Q521	3260v	Oberdorfer 1998 Vol I Table 18/2B (also: Pujol et al. 2023 p. 120; Chytry et al. 2011 tab. 11/6 p.496+505; Schubert 2001 p. 282)	154
68	Sparganio emersi-Ranunculetum fluitantis JOUANNE 1927	Ranunculetum fluitantis Allorge 1921	(semi-)aquatic community	unusable	C1.3	3260	Hilbig 1971c Tab. 5/4 + p. 28 (also: Pott 1980 Tab. 16/15-42+ p. 74; Chytry et al. 2011 tab. 5/1 p. 222+211	107
69	Veronico beccabungo-Callitrichetum stagnalis OBERDORFER 1957		(semi-)aquatic community	unusable	Q24111	3260v	Oberdorfer 1998 Vol I Table 18/5	11
70	Callitricho-Potamogetonetum berchtoldii PASSARGE 1982		(semi-)aquatic community	unusable	C1.3	3260v	Passarge 1982 Tab. 2 p. 18 (also: Passarge 1996, Tab. 24e-f,i-k p. 69; Schubert 2001 p. 283; Beudin et al. 2021 Tab. IV p. 19)	233
71	Sparganio emersi-Potamogetonetum interrupti WEBER 1976		(semi-)aquatic community	unusable	Q5141	3260v	Hilbig 1971c Tab. 5/5 p. 27	25
72	Ranunculetum trichophylli SOÓ 1927		(semi-)aquatic community	unusable	C1.2	3260	Braun-Blanquet, Roussine & Nègre 1952 tab. p. 78  (also: Chytry et al. 2011 tab. 5/1 p. 222+211; Passarge 1996 tab. 29i p. 84;  Wattez 1968 tab. 20)	39
