# ART_BERN5_ID	Plant_Name	pH_min	BS_min	CN_min	WI_min	CI_min	VP_min	CWB_min	pH_optmin	BS_optmin	CN_optmin	WI_optmin	CI_optmin	VP_optmin	CWB_optmin	pH_optmax	BS_optmax	CN_optmax	WI_optmax	CI_optmax	VP_optmax	CWB_optmax	pH_max	BS_max	CN_max	WI_max	CI_max	VP_max	CWB_max
167	Milium effusum	4	16	10	4	4	65	-46	4.5	24	14	15	13	96	-12	6	48	27	48	34	189	88	6.5	56	32	60	41	220	122
168	Maianthemum bifolium	3	3	8	4	4	65	-46	3.4	8	13	15	13	96	-12	4.7	24	28	48	34	189	88	5.2	30	33	60	41	220	122
169	Convallaria majalis	3	3	12	4	4	115	-46	4	22	15	11	10	136	-23	7	80	27	34	25	199	46	8	100	31	42	30	220	69
170	Calamagrostis arundinacae	4.1	17	15	4	4	70	-46	4.3	20	18	8	13	94	-12	5.1	29	29	20	34	166	88	5.4	32	33	24	41	190	122
171	Anemone nemorosa	3	3	10	4	4	110	-46	4	22	14	15	10	140	-23	7	80	26	48	25	230	46	8	100	31	60	30	260	69
172	Luzula pilosa	3.3	6	8	4	4	110	-46	3.7	13	12	15	13	126	-12	4.9	37	27	48	34	174	88	5.4	45	32	60	41	190	122
173	Carex pilulifera	3	3	8	4	4	65	-46	3.3	8	13	16	13	96	-12	4.5	24	28	53	34	189	88	4.9	30	33	66	41	220	122
174	Polytrichum formosum	3	3	8	4	4	90	-46	3.8	22	18	15	13	116	-12	6.2	80	49	48	34	194	88	7	100	60	60	41	220	122
176	Dicranum scoparium	3	3	12	4	4	55	-46	3.8	22	21	15	13	88	-12	6.2	80	50	48	34	187	88	7	100	60	60	41	220	122
178	Festuca ovina	3	3	11	4	4	90	-46	3.4	8	15	14	13	116	-12	4.9	26	28	44	34	194	88	5.4	32	33	55	41	220	122
179	Cladonia squarrosa	3	3	18	4	4	110	-46	3.6	11	22	8	10	132	-23	5.5	36	35	22	25	198	46	6.2	45	40	27	30	220	69
182	Dicranum undulatum	3	3	15	4	4	100	-46	3.8	22	24	15	10	124	-23	6.2	80	51	48	25	196	46	7	100	60	60	30	220	69
186	Prunus padus	3.6	11	10	24	24	110	-46	4.3	28	14	31	10	132	-23	6.7	82	27	52	25	198	46	7.5	100	32	60	30	220	69
187	Cephalanthera rubra	3.8	13	12	6	6	110	-22	4.6	30	15	10	16	140	2	7.1	82	27	23	31	230	74	8	100	31	28	36	260	98
188	Epipactis helleborine	5.2	30	12	5	5	140	-22	5.6	44	14	8	14	164	-3	7	86	20	19	26	236	50	7.5	100	22	23	30	260	69
190	Festuca arenaria	3.3	6	15	5	5	140	-22	3.9	16	18	8	13	150	-10	5.8	46	27	17	20	180	24	6.5	56	31	21	23	190	36
191	Dicranum polysetum	3	3	18	4	4	80	-36	3.8	22	21	7	14	108	-4	6.2	80	30	16	34	192	90	7	100	33	20	41	220	122
192	Phyteuma spicatum	3.8	13	12	4	4	55	-36	4.5	30	15	8	14	84	-4	6.7	82	27	23	34	171	90	7.5	100	31	28	41	200	122
193	Hepatica nobilis	4.5	23	11	4	4	115	-46	5.1	38	14	11	10	144	-23	6.9	84	23	34	25	231	46	7.5	100	26	42	30	260	69
194	Veronica officinalis	3	3	8	4	4	90	-46	3.6	12	12	8	13	116	-12	5.5	40	26	22	34	194	88	6.2	50	31	27	41	220	122
195	Dicranella heteromalla	3	3	15	4	4	90	-27	3.8	22	24	15	16	110	2	6.2	80	51	48	34	170	92	7	100	60	60	41	190	122
196	Polypodium vulgare	3	3	15	4	4	130	-27	3.4	8	18	7	12	148	-14	4.9	26	27	18	20	202	23	5.4	32	31	22	23	220	36
198	Circaea alpina	4.2	18	10	8	8	70	-36	4.7	34	14	18	13	100	-9	6.4	83	26	48	30	190	71	7	100	31	58	36	220	98
199	Sambucus nigra	3.3	6	7	4	4	90	-46	4.2	24	11	15	13	124	-12	7	81	26	48	34	226	88	8	100	31	60	41	260	122
200	Euonymus europaea	4	16	8	4	4	110	-46	4.8	32	12	15	13	140	-12	7.2	83	26	48	34	230	88	8	100	31	60	41	260	122
201	Crataegus monogyna 	4.2	18	8	4	4	105	-46	5.1	34	12	15	13	152	-12	8	83	26	48	34	293	88	9	100	31	60	41	340	122
202	Geum urbanum	3.3	6	8	4	4	110	-46	4.2	24	12	15	13	140	-12	7	81	26	48	34	230	88	8	100	31	60	41	260	122
203	Alliaria petiolata	4.8	26	10	4	4	125	-46	5.3	40	13	8	10	142	-23	6.9	85	22	20	25	193	46	7.5	100	26	25	30	210	69
204	Viola odorata	4.5	23	12	4	4	140	-46	5.2	38	15	8	10	156	-23	7.3	84	27	20	25	204	46	8	100	31	25	30	220	69
205	Dactylis glomerata	3	3	8	4	4	65	-46	4	22	13	15	13	114	-12	7	80	28	48	34	261	88	8	100	33	60	41	310	122
208	Ulmus glabra	4.6	24	8	8	8	110	-22	5.1	39	12	14	17	132	6	6.9	84	26	35	35	198	93	7.5	100	31	42	41	220	122
209	Corydalis intermedia	4.8	26	12	6	6	125	-46	5.3	40	14	10	10	142	-24	6.9	85	23	23	23	193	38	7.5	100	26	28	28	210	60
210	Corylus avellana	3	3	8	4	4	110	-46	4	22	12	11	13	140	-12	7	80	26	34	34	230	88	8	100	31	42	41	260	122
211	Cornus sanguinea	4	16	8	4	4	110	-46	4.7	32	12	15	13	140	-12	6.8	83	26	48	34	230	88	7.5	100	31	60	41	260	122
212	Glechoma hederacea	4.6	24	7	4	4	110	-46	5.2	39	11	15	13	132	-12	7.3	84	26	48	34	198	88	8	100	31	60	41	220	122
213	Stachys sylvatica	3.8	13	10	8	8	110	-46	4.5	30	13	17	13	132	-12	6.7	82	24	45	34	198	88	7.5	100	28	55	41	220	122
214	Campanula persicifolia	5.2	30	8	4	4	110	-46	5.7	44	12	8	12	132	-17	7.4	86	26	22	30	198	69	8	100	31	27	36	220	98
215	Astragalus glycyphyllos	4.5	23	8	6	6	115	-46	5.1	38	11	10	8	136	-34	6.9	84	22	22	15	199	0	7.5	100	26	27	18	220	12
216	Mercurialis perennis	4	16	8	4	4	40	-46	4.8	32	12	8	13	76	-12	7.2	83	26	23	34	184	88	8	100	31	28	41	220	122
217	Brachypodium pinnatum	4.8	26	8	4	4	90	-46	5.4	40	12	8	10	134	-23	7.3	85	26	22	25	266	46	8	100	31	27	30	310	69
218	Bromus ramosus	4	16	10	5	5	115	-46	4.7	32	14	9	10	136	-24	6.8	83	26	23	23	199	38	7.5	100	31	28	28	220	60
219	Acer platanoides	3.3	6	12	8	8	115	-46	4.2	24	15	11	9	136	-30	7	81	27	21	18	199	15	8	100	31	25	22	220	31
220	Viola riviniana	3	3	12	4	4	115	-46	3.4	12	15	8	10	137	-23	4.9	40	27	20	25	203	46	5.4	50	31	24	30	225	69
221	Melampyrum pratense	3	3	15	4	4	40	-46	3.4	8	20	8	13	76	-12	4.9	26	35	21	34	184	88	5.4	32	40	26	41	220	122
222	Tilia cordata	4	17	12	4	4	125	-46	4.8	33	15	11	10	144	-23	7.2	83	27	34	25	201	46	8	100	31	42	30	220	69
223	Holcus mollis	3.3	6	15	4	4	120	-46	3.8	14	18	15	10	151	-23	5.6	41	29	48	25	244	46	6.2	50	33	60	30	275	69
224	Hypericum perforatum	3.8	13	8	4	4	115	-46	4.5	30	12	8	10	136	-23	6.7	82	26	22	25	199	46	7.5	100	31	27	30	220	69
225	Euphorbia cyparissias	3	3	8	4	4	90	-46	4	22	12	8	12	116	-17	7	80	26	23	30	194	69	8	100	31	28	36	220	98
226	Galium verum	3.6	11	8	4	4	90	-46	4.3	28	12	10	10	116	-23	6.7	82	26	31	25	194	46	7.5	100	31	38	30	220	69
227	Galeopsis tetrahit	4.1	17	7	12	12	65	-36	4.8	33	12	21	14	90	-4	7.2	83	27	48	34	165	90	8	100	33	58	41	190	122
228	Festuca trachyphylla	3.7	12	12	4	4	90	-46	4.5	29	15	8	10	116	-23	7.1	82	27	20	25	194	46	8	100	31	24	30	220	69
229	Rumex acetosella	3	3	12	4	4	65	-46	3.5	11	16	14	13	112	-12	5.2	36	28	44	34	253	88	5.8	45	32	55	41	300	122
